measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
-0.049,-0.991,0.000,2.704,-0.935,-2.875
-0.147,-0.886,-0.000,2.670,-0.973,-2.840
-0.027,-0.651,0.000,2.631,-1.011,-2.799
0.055,-0.358,0.000,2.586,-1.047,-2.751
0.056,-0.362,0.000,2.538,-1.081,-2.694
0.050,-0.311,-0.000,2.484,-1.113,-2.628
0.020,-0.259,0.000,2.420,-1.143,-2.552
-0.043,-0.319,0.000,2.339,-1.168,-2.463
-0.030,-0.182,-0.000,2.242,-1.192,-2.363
0.031,-0.119,0.000,2.137,-1.214,-2.259
0.038,-0.074,0.000,2.033,-1.235,-2.157
-0.004,0.003,-0.000,1.946,-1.249,-2.073
-0.037,0.082,0.000,1.876,-1.260,-2.009
-0.078,0.122,-0.000,1.814,-1.268,-1.954
-0.096,0.070,0.000,1.760,-1.271,-1.907
-0.063,0.025,-0.000,1.733,-1.271,-1.889
-0.103,0.059,0.000,1.739,-1.270,-1.905
-0.051,0.137,0.000,1.782,-1.267,-1.957
-0.023,0.348,0.000,1.831,-1.264,-2.014
-0.018,0.253,0.000,1.882,-1.263,-2.069
-0.003,0.035,0.000,1.966,-1.259,-2.155
-0.110,-0.043,0.000,2.073,-1.247,-2.266
-0.118,-0.107,0.000,2.182,-1.226,-2.383
-0.081,-0.098,0.000,2.278,-1.202,-2.486
-0.050,-0.055,0.000,2.363,-1.174,-2.577
-0.108,-0.081,0.000,2.438,-1.144,-2.656
-0.110,-0.248,0.000,2.501,-1.111,-2.724
-0.150,-0.446,-0.000,2.551,-1.076,-2.779
-0.111,-0.564,0.000,2.592,-1.039,-2.826
-0.135,-0.476,0.000,2.624,-1.000,-2.867
-0.090,-0.453,0.000,2.651,-0.961,-2.903
-0.097,-0.436,0.000,2.677,-0.922,-2.933
-0.158,-0.696,0.000,2.698,-0.881,-2.959
-0.146,-0.951,-0.000,2.714,-0.839,-2.979
-0.215,-0.964,0.000,2.725,-0.796,-2.997
-0.653,-1.458,-0.000,2.733,-0.753,-3.012
-1.302,-1.499,-0.000,2.738,-0.711,-3.026
0.067,-1.553,0.000,2.742,-0.668,-3.040
2.368,-1.412,0.000,2.745,-0.625,-3.053
2.782,-1.149,-0.000,2.749,-0.581,-3.064
3.027,-0.806,0.000,2.754,-0.538,-3.075
3.105,-0.749,-0.000,2.759,-0.494,-3.085
-3.120,-0.569,0.000,2.757,-0.451,-3.096
3.051,-0.303,-0.000,2.752,-0.409,-3.109
3.032,-0.209,-0.000,2.745,-0.367,-3.122
3.060,-0.111,0.000,2.738,-0.323,-3.133
2.994,-0.009,0.000,2.734,-0.279,-3.140
3.071,0.157,-0.000,2.728,-0.233,3.138
2.999,0.298,-0.000,2.720,-0.193,3.136
2.952,0.377,0.000,2.713,-0.157,3.133
2.894,0.531,0.000,2.709,-0.128,3.128
