measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
0.047,0.809,0.034,3.023,1.250,0.001
0.048,0.822,0.033,3.026,1.209,0.001
0.049,0.771,0.040,3.017,1.369,0.002
0.019,0.769,0.016,3.089,1.385,0.000
0.005,0.771,0.004,3.127,1.380,-0.001
0.070,0.746,0.062,2.962,1.444,0.001
0.045,0.739,0.041,3.018,1.473,-0.000
0.058,0.753,0.051,2.984,1.431,-0.004
0.058,0.776,0.047,2.990,1.362,-0.003
0.012,0.791,0.009,3.107,1.318,-0.000
0.009,0.813,0.006,3.119,1.247,-0.000
0.062,0.823,0.042,2.995,1.202,-0.002
0.005,0.887,0.002,3.127,0.970,0.001
0.063,0.896,0.031,3.006,0.913,-0.001
0.057,0.915,0.025,3.015,0.826,-0.001
0.050,0.935,0.019,3.034,0.724,-0.000
0.055,0.964,0.015,3.028,0.538,-0.000
0.011,0.971,0.003,3.116,0.485,-0.000
0.030,0.986,0.005,3.081,0.335,-0.000
0.033,-0.992,0.004,-3.071,0.248,-0.000
0.005,0.996,0.000,3.129,0.175,0.000
0.027,-0.999,0.001,-3.085,0.051,-0.000
0.002,-1.000,0.000,-3.135,0.030,0.000
0.006,0.996,-0.001,3.130,-0.198,0.000
0.002,-0.994,-0.000,-3.137,-0.217,-0.000
0.016,-0.995,-0.002,-3.111,-0.201,0.000
0.014,-0.989,-0.002,-3.112,-0.291,0.000
0.022,-0.981,-0.004,-3.098,-0.385,0.000
0.025,-0.979,-0.005,-3.092,-0.403,0.000
0.018,-0.955,-0.006,-3.103,-0.596,0.000
0.044,-0.970,-0.011,-3.053,-0.487,0.000
0.076,-0.959,-0.022,-2.986,-0.548,0.000
0.001,-0.916,-0.000,-3.133,-0.815,-0.001
0.018,-0.917,-0.008,-3.104,-0.819,0.000
0.027,-0.897,-0.013,-3.082,-0.908,0.000
0.039,-0.875,-0.022,-3.053,-1.001,0.001
0.081,-0.867,-0.046,-2.959,-1.028,0.001
0.084,-0.858,-0.049,-2.948,-1.063,0.001
0.125,-0.846,-0.076,-2.852,-1.088,0.001
0.071,-0.842,-0.045,-2.968,-1.125,0.001
0.121,-0.837,-0.076,-2.859,-1.125,0.001
0.102,-0.810,-0.072,-2.891,-1.226,0.002
0.182,-0.772,-0.140,-2.689,-1.306,0.004
0.222,-0.748,-0.178,-2.570,-1.350,0.003
0.221,-0.778,-0.161,-2.586,-1.261,-0.001
0.177,-0.785,-0.131,-2.692,-1.272,-0.003
0.171,-0.815,-0.114,-2.726,-1.178,-0.002
0.137,-0.852,-0.080,-2.820,-1.065,-0.001
0.104,-0.881,-0.054,-2.903,-0.962,-0.001
