m_roll,m_pitch,m_yaw,f_roll,f_pitch,f_yaw
0.004,0.003,1.571,0.005,0.002,1.573
0.004,0.003,1.571,0.005,0.002,1.573
0.004,0.003,1.571,0.005,0.002,1.573
0.004,0.003,1.571,0.005,0.002,1.573
0.004,0.003,1.571,0.005,0.002,1.573
0.004,0.003,1.571,0.005,0.002,1.573
0.004,0.003,1.571,0.005,0.002,1.573
0.004,0.003,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.002,1.573
0.003,0.002,1.571,0.005,0.002,1.573
0.003,0.002,1.571,0.005,0.002,1.573
0.003,0.002,1.571,0.005,0.002,1.573
0.003,0.002,1.571,0.005,0.002,1.573
0.003,0.002,1.571,0.005,0.002,1.573
0.003,0.002,1.571,0.005,0.002,1.573
0.003,0.002,1.571,0.005,0.002,1.573
0.003,0.002,1.571,0.005,0.002,1.573
0.003,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.001,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.004,0.002,1.571,0.005,0.002,1.573
0.005,0.002,1.571,0.005,0.002,1.573
0.005,0.003,1.571,0.005,0.002,1.573
0.005,0.003,1.571,0.005,0.002,1.573
0.004,0.003,1.571,0.005,0.002,1.573
0.004,0.003,1.571,0.005,0.002,1.573
0.004,0.003,1.571,0.005,0.002,1.573
0.004,0.003,1.571,0.005,0.002,1.573
0.004,0.003,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.002,1.573
0.003,0.002,1.571,0.005,0.002,1.573
0.003,0.002,1.571,0.005,0.002,1.573
0.003,0.002,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.002,1.573
0.003,0.003,1.571,0.005,0.003,1.573
0.003,0.004,1.571,0.005,0.003,1.573
0.003,0.004,1.571,0.005,0.003,1.573
0.004,0.004,1.571,0.005,0.003,1.573
0.004,0.004,1.571,0.005,0.003,1.573
0.005,0.005,1.571,0.005,0.003,1.573
0.005,0.005,1.571,0.005,0.003,1.573
0.006,0.005,1.571,0.005,0.003,1.573
0.006,0.004,1.571,0.005,0.003,1.573
0.007,0.004,1.571,0.005,0.003,1.573
0.007,0.002,1.571,0.005,0.003,1.572
0.007,0.001,1.571,0.006,0.003,1.571
0.008,6.281,1.571,0.006,0.002,1.570
0.007,6.278,1.571,0.006,0.002,1.569
0.006,6.275,1.571,0.006,0.001,1.568
0.005,6.270,1.571,0.006,0.000,1.566
0.003,6.266,1.571,0.006,6.282,1.565
0.001,6.260,1.571,0.006,6.281,1.563
6.283,6.255,1.571,0.006,6.279,1.561
6.282,6.251,1.571,0.006,6.278,1.559
6.282,6.248,1.571,0.006,6.276,1.557
0.000,6.246,1.571,0.005,6.275,1.556
0.003,6.247,1.571,0.005,6.273,1.554
0.006,6.252,1.571,0.004,6.273,1.553
0.008,6.259,1.571,0.003,6.273,1.551
0.010,6.270,1.571,0.002,6.274,1.550
0.011,6.283,1.571,6.283,6.276,1.549
0.010,0.013,1.571,6.281,6.280,1.548
0.007,0.026,1.571,6.278,0.002,1.548
0.002,0.038,1.571,6.274,0.009,1.547
6.279,0.049,1.571,6.270,0.018,1.547
6.271,0.059,1.571,6.265,0.028,1.547
6.263,0.071,1.571,6.261,0.041,1.547
6.254,0.085,1.571,6.255,0.057,1.548
6.244,0.101,1.571,6.250,0.075,1.548
6.234,0.121,1.571,6.245,0.096,1.548
6.225,0.144,1.571,6.240,0.120,1.549
6.216,0.171,1.571,6.235,0.147,1.549
6.207,0.200,1.571,6.232,0.178,1.549
6.200,0.233,1.571,6.229,0.211,1.550
6.195,0.269,1.571,6.227,0.247,1.550
6.192,0.309,1.571,6.227,0.285,1.551
6.192,0.353,1.571,6.228,0.325,1.552
6.195,0.400,1.571,6.230,0.367,1.552
6.201,0.451,1.571,6.233,0.410,1.553
6.209,0.504,1.571,6.237,0.454,1.554
6.220,0.559,1.571,6.241,0.499,1.555
6.232,0.616,1.571,6.244,0.544,1.556
6.243,0.674,1.571,6.248,0.589,1.557
6.254,0.734,1.571,6.250,0.635,1.559
6.264,0.795,1.571,6.252,0.680,1.560
6.271,0.857,1.571,6.253,0.726,1.561
6.276,0.920,1.571,6.254,0.773,1.561
6.279,0.982,1.571,6.254,0.820,1.562
