ax, ay, az, gx, gy, gz, temp
-0.65362, 0.37828, -13.40035, -1.11301, 0.28978, 0.14016, 27.55045
-0.45969, 0.46687, -13.29979, -1.28128, 0.30323, 0.12817, 27.79007
-0.36392, 0.66319, -12.99812, -1.40093, 0.25807, 0.08953, 27.50253
-0.35913, 0.51236, -12.76110, -1.52590, 0.28818, 0.07155, 27.79007
-0.22027, 0.91219, -12.61984, -1.80462, 0.32642, 0.00986, 27.55045
-0.14365, 1.23301, -12.50013, -2.00207, 0.21570, -0.11205, 27.79007
-0.27294, 1.16837, -12.64378, -2.21017, 0.07021, -0.14909, 27.98176
0.11732, 1.35272, -11.70765, -2.45119, -0.11631, -0.14749, 27.79007
0.06943, 1.92973, -11.42752, -2.68674, -0.29084, -0.23062, 27.69422
0.22266, 1.98719, -10.45787, -2.79333, -0.41062, -0.30377, 27.88591
-0.12689, 2.17394, -9.84975, -2.90471, -0.45578, -0.34254, 27.55045
-0.15323, 2.30083, -9.10515, -3.03341, -0.44566, -0.36039, 27.79007
-0.49560, 2.95444, -8.74602, -3.11215, -0.44179, -0.34773, 27.88591
-1.04627, 2.99036, -8.02297, -3.05912, -0.44060, -0.20158, 27.69422
-1.24259, 3.19865, -7.41724, -2.95454, -0.30910, 0.00746, 27.88591
-1.15879, 3.85945, -7.07726, -2.87153, -0.21037, 0.09046, 27.83799
-1.40061, 4.57771, -7.18739, -2.83116, -0.08274, 0.12351, 27.83799
-1.55384, 4.57053, -6.87136, -2.78387, -0.00560, 0.10845, 27.55045
-1.07260, 4.69742, -6.35900, -2.84355, -0.05063, 0.15002, 27.50253
-1.33836, 5.04458, -5.97593, -2.77041, -0.16387, 0.32575, 27.55045
-0.96007, 5.38935, -4.77164, -2.61826, -0.13110, 0.51547, 27.69422
-0.80206, 5.91847, -4.52744, -2.49782, 0.02998, 0.52813, 27.79007
-0.58658, 6.54335, -4.25450, -2.39830, 0.14096, 0.38677, 27.79007
-0.84515, 6.37336, -4.33829, -2.40696, 0.25087, 0.22316, 27.83799
-0.55306, 6.28957, -4.40054, -2.49889, 0.08873, 0.15588, 27.55045
-0.82361, 6.37576, -4.03902, -2.45998, -0.11418, 0.31789, 27.98176
-0.74460, 6.28239, -3.17471, -2.34913, -0.17107, 0.46458, 27.64630
-0.68474, 6.63433, -2.60250, -2.32848, -0.16401, 0.54358, 27.88591
-0.81403, 6.88094, -2.18591, -2.29811, -0.08087, 0.52613, 27.83799
-0.95289, 6.91924, -1.76932, -2.24908, 0.04077, 0.52666, 27.79007
-0.87628, 6.86657, -1.39103, -2.26653, 0.13683, 0.57276, 27.79007
-0.45011, 7.06050, -1.07979, -2.26493, 0.07501, 0.65843, 27.55045
-0.38547, 7.08444, -0.46687, -2.18113, -0.03411, 0.71425, 27.55045
0.03352, 7.21134, 0.14844, -2.11891, 0.00386, 0.71092, 27.88591
-0.02394, 7.59920, 0.53151, -2.02072, 0.01172, 0.68108, 27.64630
0.16759, 7.60398, 0.92416, -1.91840, 0.05143, 0.67002, 27.83799
0.57940, 7.58004, 1.83875, -1.86177, 0.08367, 0.64737, 27.83799
0.95529, 8.06128, 1.72861, -1.73587, -0.00573, 0.60660, 27.98176
0.93853, 7.91044, 2.31280, -1.63395, -0.10872, 0.58795, 27.64630
1.42694, 8.66222, 3.82354, -1.08917, -0.02038, 0.41368, 27.50253
1.40061, 8.73644, 3.90255, -0.99977, 0.02212, 0.37465, 27.55045
1.49159, 8.73165, 4.18028, -0.87586, 0.03064, 0.37984, 27.69422
1.79086, 8.88488, 4.37421, -0.74863, 0.04783, 0.43060, 27.55045
2.38223, 9.11473, 4.86502, -0.57063, 0.08620, 0.38997, 27.79007
2.41336, 9.60554, 4.80037, -0.37491, 0.03504, 0.18546, 27.69422
2.19548, 9.32781, 5.06852, -0.29924, -0.01545, 0.09260, 27.64630
1.94888, 9.11233, 4.61602, -0.19492, -0.06755, 0.10858, 27.69422
1.97522, 9.17458, 4.81235, -0.10499, -0.11138, 0.10352, 27.69422
1.89621, 9.47146, 5.18105, 0.01719, -0.13003, 0.02305, 27.79007
1.81241, 9.47864, 5.32710, 0.28472, -0.13003, -0.04810, 27.50253
1.59454, 9.28232, 5.17866, 0.51134, -0.09726, -0.03930, 27.79007
1.52989, 9.09078, 5.12120, 0.80512, -0.05343, 0.04916, 27.69422
1.58017, 9.16740, 5.06852, 1.01322, -0.02651, 0.05849, 27.79007
1.53468, 9.00220, 4.55617, 1.06145, 0.05822, -0.00613, 27.64630
2.00874, 9.09318, 4.25928, 1.22386, 0.06568, -0.09686, 27.45461
1.44131, 8.96389, 4.13000, 1.37042, 0.08767, -0.15468, 27.98176
1.38624, 8.88967, 4.30717, 1.58905, 0.08540, -0.16934, 27.79007
1.26653, 8.76517, 4.24971, 2.00526, 0.04663, -0.15375, 27.69422
1.02711, 8.53294, 3.82593, 2.27319, 0.00706, -0.12950, 27.79007
0.78051, 8.46350, 3.10049, 2.40123, 0.02265, -0.05409, 27.55045
0.80206, 8.33661, 2.22421, 2.54365, 0.09619, -0.04370, 27.83799
0.64165, 8.32464, 1.30723, 2.59255, 0.24568, -0.08900, 27.88591
0.71826, 7.92481, 0.43096, 2.56737, 0.41142, -0.04423, 27.79007
0.90980, 7.63272, -0.50278, 2.61933, 0.59514, 0.13217, 27.69422
-1.07739, 5.95917, 1.13246, 2.55871, 0.71345, 0.13803, 27.83799
1.89860, 7.69736, -2.35829, 2.57749, 0.49429, 0.17373, 27.98176
1.72143, 7.62074, -2.98796, 2.57936, 0.29830, 0.08673, 27.64630
1.63763, 7.56568, -3.65834, 2.59774, 0.19971, -0.02132, 27.83799
1.32160, 6.99586, -4.01508, 2.49875, 0.21051, 0.02904, 27.55045
1.13964, 6.65588, -4.58490, 2.49875, 0.22876, 0.17933, 27.64630
1.55623, 6.77799, -5.17148, 2.44306, 0.28205, 0.31536, 27.79007
1.64242, 6.84981, -5.50906, 2.31942, 0.18479, 0.31962, 27.88591
1.54426, 6.65109, -5.71496, 2.35513, 0.03344, 0.31576, 27.79007
1.43413, 6.16986, -5.77242, 2.27586, -0.04583, 0.32349, 27.83799
1.64960, 6.73250, -5.34865, 2.18286, 0.01306, 0.29617, 27.88591
1.13485, 6.57927, -4.71658, 2.19872, 0.15348, 0.18106, 27.88591
1.02472, 5.77003, -5.57370, 2.12224, 0.39516, 0.12737, 27.69422
2.09253, 5.43484, -6.37097, 2.10159, 0.36479, 0.17373, 27.98176
1.38864, 5.61201, -6.39012, 2.11891, 0.15268, 0.23129, 27.69422
0.42856, 4.92966, -6.02142, 2.18686, 0.05196, 0.28312, 27.83799
0.39025, 4.25210, -6.72292, 2.28958, 0.08234, 0.49322, 27.79007
1.50116, 3.99113, -7.24007, 2.28758, 0.11884, 0.59181, 27.69422
1.37906, 4.37181, -7.52498, 2.15515, 0.10432, 0.62859, 27.69422
1.32399, 3.94804, -7.72609, 2.14902, 0.06289, 0.51560, 27.79007
1.65679, 3.50751, -7.92241, 2.17607, -0.13363, 0.46884, 27.83799
1.79326, 2.79643, -8.82982, 2.08613, -0.26873, 0.47084, 27.83799
2.21703, 3.32315, -8.90404, 1.92852, -0.64990, 0.44992, 27.64630
0.81882, 3.73495, -8.52815, 1.97742, -0.84389, 0.32002, 27.64630
-0.29688, 2.61686, -8.77475, 1.93638, -0.55837, 0.20584, 27.64630
0.40701, 1.97522, -9.60793, 1.70429, -0.05809, 0.29604, 27.83799
1.36948, 2.38941, -10.25197, 1.68977, 0.03397, 0.30603, 27.83799
0.93613, 2.42054, -10.24718, 1.47713, -0.07541, 0.15455, 27.50253
1.31442, 2.09972, -10.30464, 1.39147, -0.20358, 0.03091, 27.83799
1.58496, 1.58736, -10.27112, 1.43863, -0.31776, 0.03757, 27.79007
1.41497, 1.40540, -10.55364, 1.34390, -0.27912, 0.06848, 27.50253
1.29047, 1.88663, -10.21845, 1.21880, -0.23768, 0.01572, 27.69422
0.81163, 1.42694, -10.11071, 1.20001, -0.19265, -0.08087, 27.83799
1.42694, 0.93134, -10.50336, 1.13686, 0.02212, -0.03637, 27.79007
1.64482, 1.35512, -10.80503, 0.97459, 0.10285, -0.04996, 27.55045
1.55384, 1.42694, -10.12029, 0.93675, -0.00253, -0.20278, 27.69422
0.97205, 0.69911, -10.22324, 1.01975, -0.02451, -0.24888, 27.64630
0.77333, -0.09098, -10.44830, 0.97965, 0.18199, -0.10445, 27.69422
1.33836, 0.45969, -10.37647, 0.92063, 0.22809, -0.00413, 27.69422
0.90980, -0.11971, -10.86728, 0.96526, 0.16108, 0.20797, 27.69422
1.32639, -0.32082, -11.49456, 0.89265, 0.20544, 0.22036, 27.79007
1.99676, -0.33040, -12.01650, 0.74849, 0.17507, 0.22090, 27.83799
2.24097, -0.12210, -12.31099, 0.61806, 0.05089, 0.16760, 27.83799
1.64482, -0.30406, -12.26310, 0.58515, -0.07341, 0.08540, 27.83799
1.28569, -0.86910, -12.60308, 0.44273, -0.00826, 0.10232, 27.64630
1.79086, -0.86191, -12.92390, 0.22583, 0.04676, 0.18253, 27.69422
2.35350, -0.41899, -12.97897, 0.19172, -0.13470, 0.18919, 27.79007
