measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
1.333,-0.107,-0.000,2.266,-0.142,2.904
1.394,-0.077,0.000,2.280,-0.143,2.906
1.427,-0.091,0.000,2.295,-0.143,2.907
1.437,-0.058,-0.000,2.311,-0.144,2.908
1.492,-0.093,0.000,2.329,-0.145,2.908
1.522,-0.112,0.000,2.349,-0.147,2.907
1.555,-0.108,0.000,2.370,-0.149,2.905
1.561,-0.109,-0.000,2.392,-0.152,2.905
1.643,-0.141,-0.000,2.414,-0.156,2.907
1.710,-0.173,0.000,2.436,-0.160,2.910
1.768,-0.151,0.000,2.459,-0.163,2.913
1.807,-0.093,-0.000,2.484,-0.165,2.916
1.867,-0.078,0.000,2.511,-0.170,2.916
2.033,0.032,0.000,2.538,-0.176,2.916
2.154,-0.195,0.000,2.566,-0.187,2.913
2.180,-0.231,-0.000,2.594,-0.195,2.912
2.248,-0.012,0.000,2.619,-0.204,2.915
2.373,-0.059,0.000,2.642,-0.214,2.918
2.496,-0.170,0.000,2.667,-0.222,2.918
2.503,-0.169,-0.000,2.691,-0.226,2.914
2.511,-0.112,0.000,2.716,-0.228,2.909
2.549,-0.084,0.000,2.740,-0.230,2.902
2.552,-0.164,-0.000,2.763,-0.232,2.896
2.545,-0.206,0.000,2.783,-0.234,2.892
2.595,-0.207,0.000,2.804,-0.236,2.889
2.613,-0.215,0.000,2.824,-0.236,2.885
2.615,-0.205,0.000,2.845,-0.234,2.879
2.674,-0.120,0.000,2.868,-0.231,2.872
2.737,-0.161,0.000,2.890,-0.229,2.865
2.740,-0.207,0.000,2.909,-0.227,2.861
2.752,-0.186,0.000,2.928,-0.224,2.859
2.838,-0.138,0.000,2.946,-0.220,2.856
2.878,-0.121,0.000,2.965,-0.215,2.853
2.934,-0.110,0.000,2.983,-0.213,2.850
2.927,-0.161,-0.000,3.000,-0.209,2.847
2.908,-0.188,0.000,3.016,-0.204,2.846
2.968,-0.061,0.000,3.031,-0.199,2.846
