ax, ay, az, gx, gy, gz, temp
2.61207, 8.47787, -2.32477, -1.14472, -0.22130, -0.41741, 26.25654
1.58496, 9.91439, -2.46603, -0.76715, -0.33601, -0.69600, 26.44823
0.09577, 9.48104, -3.74693, -0.60833, -0.49948, -0.61659, 26.11277
0.01915, 10.07720, -3.25372, -0.58902, -0.22090, -0.32242, 26.25654
0.33998, 9.93833, -3.23457, -0.38264, -0.10685, -0.10352, 26.20861
1.05584, 10.52012, -2.48758, -0.17920, -0.16481, 0.19065, 26.44823
1.44370, 9.87369, -2.29843, 0.07048, -0.22103, 0.20917, 26.06485
1.90100, 9.74679, -2.08056, 0.30004, -0.15521, 0.30310, 26.25654
2.09253, 9.52653, -1.11809, 0.90224, -0.45805, 0.12764, 26.25654
1.97761, 9.94312, -1.41258, 1.38214, -0.26273, 0.18786, 26.11277
2.06859, 9.71806, -2.68629, 2.11118, -0.35466, 0.39783, 26.20861
1.15161, 8.59997, -3.39019, 2.55418, -0.54678, 0.23822, 26.25654
0.19872, 8.26478, -5.11880, 3.06205, -0.40689, 0.46684, 26.11277
0.96247, 6.22014, -6.18183, 3.13320, -0.62046, 0.77434, 26.30446
1.19710, 7.09163, -6.87854, 3.07817, -0.40356, 0.65043, 26.30446
0.47405, 5.39174, -7.30710, 3.33171, -0.65443, 0.23156, 26.30446
-0.33519, 3.15795, -8.87531, 3.04460, -0.90051, 0.45099, 26.40031
1.97522, 5.02064, -8.08043, 3.00676, -0.56117, 0.56703, 26.40031
0.47645, 3.10289, -7.56089, 3.42058, -0.91237, -0.00573, 26.25654
-2.68869, 1.07739, -9.47146, 3.25537, -0.73637, 0.52413, 26.11277
1.55623, 0.85473, -9.57920, 2.84076, -0.27272, 1.10848, 26.30446
0.83079, 0.54588, -6.87375, 3.03567, -0.50375, -0.17333, 26.30446
-3.89537, -0.88346, -9.84256, 3.18729, 0.04543, 0.08713, 26.20861
1.25456, -1.08697, -9.18655, 2.85914, 0.52800, 0.95926, 26.44823
-0.08619, -1.84832, -6.91924, 3.06365, 0.01745, 0.25434, 26.20861
-1.37906, -3.16513, -7.75961, 3.50771, 1.06358, 0.26366, 26.20861
1.38864, -6.01902, -12.93108, 2.19006, 0.10152, 0.68294, 26.30446
0.80206, -3.28245, -6.27520, 2.00713, 0.03571, 0.75222, 26.20861
0.25139, -5.55455, -8.26239, 2.68488, -0.31736, 0.39916, 26.20861
0.41899, -6.09564, -8.81545, 2.20831, -0.05356, 0.24888, 26.20861
-0.45011, -5.72693, -5.96874, 2.33394, -0.37958, 0.51028, 26.20861
-0.15562, -6.69658, -6.59124, 2.63491, -0.77714, 0.91410, 26.11277
-0.12210, -7.80510, -6.37576, 2.60920, -0.80538, 0.54012, 26.11277
-0.38786, -6.64870, -4.23534, 2.58522, -0.79965, 0.31762, 26.30446
-1.44849, -7.87214, -3.88579, 3.31439, -0.95074, 0.54105, 26.44823
-1.71185, -10.21366, -6.41646, 2.44453, -0.68268, -0.08687, 26.20861
-0.80206, -7.58244, -0.95768, 2.41935, -0.87040, 0.22436, 26.40031
-3.21302, -10.99657, -4.20182, 2.69140, -0.62859, 0.10978, 26.25654
-3.31597, -10.88644, -3.94804, 1.45635, -0.19225, -0.02345, 26.25654
-1.93212, -9.11473, -0.28252, 1.63102, -0.42860, 0.33894, 26.40031
-0.76375, -9.85932, -2.18351, 1.13660, -0.12977, -0.24368, 26.25654
-0.36871, -9.69412, -0.88346, 0.97952, 0.13257, -0.67095, 26.06485
-2.49236, -9.82820, -0.48123, 1.04147, 0.35746, -0.89971, 26.25654
-3.25133, -9.96946, 0.04549, 0.77381, 0.10432, -0.26007, 26.30446
-1.83635, -10.52970, 0.00239, 0.45712, -0.04463, 0.34094, 26.11277
-1.43173, -11.82017, -0.28730, 0.07541, 0.10685, 0.09086, 25.96900
-0.97923, -11.44428, 0.05986, -0.31562, 0.25594, -0.11325, 26.06485
-1.45089, -11.96861, -0.70390, -0.75902, 0.30177, -0.17360, 26.25654
-1.01993, -11.61906, -0.87867, -1.44636, 0.51534, 0.07807, 26.30446
-1.25456, -11.40358, -0.92416, -1.97022, 0.68960, 0.07528, 26.20861
-1.99198, -9.36612, -1.71904, -2.33181, 0.55064, 0.52520, 26.20861
0.71826, -7.26640, 0.67038, -2.26680, 0.91876, 0.53932, 26.25654
-0.45969, -8.66940, -1.75734, -2.05922, 0.80099, -0.67735, 26.30446
-2.44927, -8.32224, -4.53222, -2.32182, 0.42860, -0.33827, 26.40031
-0.75657, -7.47470, -2.44209, -2.69247, 0.31296, 0.21184, 26.40031
0.55785, -7.69975, -3.86903, -2.21923, -0.14749, 0.14469, 26.25654
-1.38385, -9.43316, -7.57286, -2.56737, 0.20931, -0.67215, 26.06485
-1.50595, -8.54251, -6.53617, -3.47947, 0.32708, -0.24381, 26.40031
-0.58419, -5.27921, -5.95917, -2.97479, -0.23609, -0.08167, 26.20861
-1.91776, -6.54335, -8.88009, -2.99757, 0.28258, -0.73224, 26.11277
