ax, ay, az, gx, gy, gz, temp
-4.37899, 0.05746, -8.31027, 0.16241, -1.56120, 0.24781, 24.62716
-4.57293, -0.27533, -8.19056, 0.10552, -1.42891, 0.29671, 24.81885
-4.72137, 0.03831, -8.14986, 0.14322, -1.36749, 0.27086, 24.86678
-4.43646, 0.05267, -8.30788, 0.13976, -1.40479, 0.24408, 24.72301
-4.53701, -0.09816, -8.22408, 0.10885, -1.52430, 0.21504, 24.72301
-4.90333, -0.24181, -8.01818, 0.06502, -1.62795, 0.06142, 24.91470
-4.97994, -0.15562, -7.90565, -0.02625, -1.71429, -0.05236, 24.81885
-5.50666, 0.05267, -7.58004, -0.13243, -1.77251, -0.19398, 24.81885
-5.87777, 0.15562, -7.20655, -0.24315, -1.77970, -0.30350, 24.72301
-5.94241, -0.03112, -7.18739, -0.24102, -1.79596, -0.35693, 24.67508
-6.26802, 0.11732, -6.94318, -0.22902, -1.77890, -0.37092, 24.72301
-6.20577, 0.10295, -7.00783, -0.05662, -1.82580, -0.30004, 24.81885
-6.49547, -0.06464, -6.68222, 0.00173, -1.88043, -0.22982, 24.72301
-6.55532, 0.05986, -6.62236, 0.13496, -1.95996, -0.15148, 24.53132
-6.51941, -0.23703, -6.38773, 0.22756, -2.12251, -0.02904, 24.81885
-7.34302, 0.14844, -6.04296, 0.10472, -2.24441, 0.07168, 24.86678
-7.35738, -0.42856, -5.42526, 0.06462, -2.35713, 0.03238, 24.86678
-8.23845, -0.30167, -4.48673, 0.05263, -1.61343, 0.05263, 24.72301
-7.83862, -0.07183, -4.59208, 0.20544, -1.80102, 0.12231, 24.81885
-8.16662, -0.73741, -4.06535, 0.04850, -1.98608, 0.03064, 24.81885
-8.76757, -0.79487, -3.61524, -0.20251, -2.02498, -0.08500, 24.67508
-9.39964, -0.26815, -2.94247, -0.28671, -1.88069, -0.11231, 25.01054
-9.47146, -0.09577, -2.52349, -0.20851, -1.66512, -0.07874, 24.62716
-9.54329, -0.10774, -2.71024, -0.08487, -1.49832, -0.00253, 24.91470
