measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
-0.243,-1.259,0.000,2.705,-0.672,-2.938
-0.400,-1.415,0.000,2.712,-0.630,-2.953
-2.115,-1.519,0.000,2.716,-0.587,-2.967
-3.017,-1.362,0.000,2.719,-0.543,-2.980
-3.129,-1.173,-0.000,2.720,-0.498,-2.992
3.110,-0.974,-0.000,2.719,-0.453,-3.004
3.084,-0.771,0.000,2.718,-0.407,-3.016
3.064,-0.569,0.000,2.715,-0.361,-3.027
3.047,-0.377,-0.000,2.711,-0.316,-3.038
3.031,-0.201,0.000,2.706,-0.271,-3.048
3.015,-0.045,0.000,2.701,-0.227,-3.058
2.999,0.087,0.000,2.696,-0.186,-3.067
2.984,0.196,0.000,2.690,-0.147,-3.075
2.969,0.282,-0.000,2.685,-0.113,-3.082
2.956,0.346,0.000,2.681,-0.082,-3.087
2.945,0.392,0.000,2.677,-0.057,-3.091
2.937,0.420,0.000,2.674,-0.037,-3.094
2.932,0.432,0.000,2.673,-0.024,-3.094
2.932,0.430,0.000,2.673,-0.017,-3.093
2.935,0.416,0.000,2.674,-0.016,-3.089
2.942,0.391,0.000,2.676,-0.022,-3.084
2.951,0.356,0.000,2.679,-0.034,-3.076
2.963,0.314,0.000,2.683,-0.052,-3.067
2.975,0.265,0.000,2.686,-0.076,-3.056
2.988,0.211,0.000,2.690,-0.104,-3.044
3.000,0.152,0.000,2.692,-0.136,-3.031
3.010,0.089,0.000,2.694,-0.172,-3.017
3.019,0.020,0.000,2.695,-0.211,-3.002
3.026,-0.055,0.000,2.694,-0.252,-2.987
3.032,-0.140,0.000,2.692,-0.294,-2.972
3.035,-0.236,-0.000,2.689,-0.338,-2.957
3.037,-0.345,-0.000,2.684,-0.382,-2.942
3.038,-0.468,0.000,2.678,-0.426,-2.927
3.038,-0.605,0.000,2.671,-0.470,-2.912
3.038,-0.751,0.000,2.663,-0.513,-2.898
3.039,-0.900,0.000,2.654,-0.556,-2.883
3.042,-1.046,0.000,2.644,-0.599,-2.868
3.048,-1.185,0.000,2.633,-0.640,-2.853
3.062,-1.313,0.000,2.621,-0.681,-2.837
3.097,-1.431,-0.000,2.608,-0.722,-2.819
-2.935,-1.538,0.000,2.593,-0.762,-2.800
-0.255,-1.499,0.000,2.576,-0.801,-2.778
-0.166,-1.402,0.000,2.557,-0.839,-2.753
-0.138,-1.306,0.000,2.534,-0.877,-2.724
-0.121,-1.211,-0.000,2.506,-0.915,-2.690
-0.108,-1.114,-0.000,2.472,-0.952,-2.650
-0.097,-1.016,0.000,2.432,-0.988,-2.603
-0.087,-0.916,0.000,2.382,-1.023,-2.547
-0.079,-0.815,-0.000,2.323,-1.056,-2.481
-0.072,-0.713,0.000,2.253,-1.087,-2.404
-0.066,-0.612,-0.000,2.171,-1.115,-2.316
-0.061,-0.513,0.000,2.079,-1.138,-2.217
-0.058,-0.417,0.000,1.977,-1.156,-2.110
-0.056,-0.327,0.000,1.871,-1.168,-1.999
-0.055,-0.245,0.000,1.765,-1.175,-1.889
-0.054,-0.171,0.000,1.666,-1.178,-1.787
-0.055,-0.107,-0.000,1.578,-1.176,-1.696
-0.057,-0.055,0.000,1.506,-1.173,-1.622
-0.060,-0.013,0.000,1.451,-1.170,-1.566
-0.062,0.016,0.000,1.415,-1.167,-1.529
-0.066,0.032,-0.000,1.399,-1.166,-1.513
-0.069,0.036,-0.000,1.401,-1.167,-1.516
-0.071,0.028,0.000,1.424,-1.171,-1.538
-0.073,0.008,-0.000,1.466,-1.175,-1.581
-0.073,-0.024,0.000,1.527,-1.180,-1.643
-0.071,-0.067,0.000,1.606,-1.183,-1.723
-0.068,-0.119,-0.000,1.700,-1.183,-1.818
-0.062,-0.178,0.000,1.804,-1.179,-1.923
-0.055,-0.244,0.000,1.912,-1.170,-2.033
-0.046,-0.313,0.000,2.019,-1.154,-2.141
-0.035,-0.385,0.000,2.120,-1.133,-2.243
-0.024,-0.456,0.000,2.212,-1.107,-2.335
-0.012,-0.527,0.000,2.292,-1.077,-2.417
0.001,-0.596,0.000,2.361,-1.044,-2.488
0.013,-0.663,-0.000,2.420,-1.009,-2.548
0.025,-0.729,0.000,2.470,-0.972,-2.600
0.037,-0.793,0.000,2.512,-0.935,-2.644
0.049,-0.858,0.000,2.547,-0.897,-2.682
0.061,-0.923,0.000,2.577,-0.859,-2.715
0.074,-0.991,0.000,2.601,-0.821,-2.743
0.091,-1.063,0.000,2.622,-0.782,-2.769
0.116,-1.140,0.000,2.640,-0.743,-2.791
0.157,-1.225,0.000,2.655,-0.705,-2.812
0.239,-1.318,0.000,2.667,-0.666,-2.830
0.457,-1.417,-0.000,2.678,-0.626,-2.848
1.336,-1.490,-0.000,2.687,-0.586,-2.864
2.452,-1.426,0.000,2.694,-0.546,-2.880
2.733,-1.298,0.000,2.701,-0.504,-2.896
2.830,-1.155,0.000,2.706,-0.462,-2.911
2.874,-1.009,0.000,2.711,-0.419,-2.926
2.897,-0.865,0.000,2.716,-0.375,-2.941
2.910,-0.723,0.000,2.719,-0.330,-2.956
2.918,-0.586,0.000,2.723,-0.284,-2.971
2.922,-0.452,0.000,2.726,-0.237,-2.987
2.925,-0.322,-0.000,2.728,-0.191,-3.002
2.927,-0.196,0.000,2.730,-0.145,-3.018
2.929,-0.075,0.000,2.732,-0.099,-3.033
2.931,0.038,0.000,2.733,-0.056,-3.048
2.933,0.143,0.000,2.733,-0.015,-3.062
2.935,0.234,0.000,2.734,0.022,-3.074
2.938,0.312,-0.000,2.735,0.054,-3.086
2.942,0.374,0.000,2.735,0.081,-3.096
2.946,0.420,0.000,2.736,0.101,-3.103
2.950,0.452,0.000,2.737,0.114,-3.109
2.955,0.469,0.000,2.738,0.120,-3.112
2.959,0.472,0.000,2.740,0.118,-3.112
2.964,0.462,-0.000,2.743,0.109,-3.110
2.969,0.439,0.000,2.745,0.092,-3.105
2.973,0.404,0.000,2.747,0.068,-3.099
2.977,0.356,0.000,2.750,0.039,-3.090
2.980,0.296,-0.000,2.752,0.004,-3.080
2.983,0.224,0.000,2.753,-0.035,-3.068
2.985,0.139,0.000,2.753,-0.077,-3.056
2.985,0.042,0.000,2.753,-0.121,-3.043
2.985,-0.069,0.000,2.752,-0.167,-3.030
2.983,-0.191,-0.000,2.749,-0.214,-3.017
2.980,-0.325,-0.000,2.746,-0.260,-3.003
2.975,-0.467,0.000,2.742,-0.306,-2.990
2.968,-0.615,0.000,2.737,-0.351,-2.976
2.959,-0.765,0.000,2.731,-0.396,-2.962
2.946,-0.914,0.000,2.724,-0.439,-2.949
2.927,-1.057,0.000,2.717,-0.481,-2.935
2.895,-1.194,0.000,2.708,-0.523,-2.921
2.829,-1.323,0.000,2.699,-0.563,-2.906
2.638,-1.443,0.000,2.689,-0.603,-2.890
1.435,-1.521,-0.000,2.677,-0.642,-2.873
0.306,-1.443,0.000,2.665,-0.681,-2.855
0.127,-1.335,0.000,2.650,-0.719,-2.834
0.068,-1.225,-0.000,2.634,-0.758,-2.811
0.042,-1.115,0.000,2.615,-0.796,-2.786
0.030,-1.006,0.000,2.593,-0.834,-2.757
0.025,-0.898,0.000,2.568,-0.872,-2.724
0.023,-0.792,0.000,2.539,-0.910,-2.687
0.023,-0.690,0.000,2.504,-0.947,-2.644
0.024,-0.591,0.000,2.464,-0.984,-2.595
0.025,-0.498,0.000,2.417,-1.019,-2.540
0.026,-0.412,0.000,2.363,-1.053,-2.478
0.026,-0.332,0.000,2.300,-1.085,-2.407
0.026,-0.260,-0.000,2.230,-1.114,-2.330
0.024,-0.195,-0.000,2.152,-1.140,-2.246
0.022,-0.137,0.000,2.069,-1.162,-2.157
0.019,-0.087,-0.000,1.983,-1.179,-2.067
0.016,-0.045,0.000,1.900,-1.192,-1.981
0.012,-0.010,0.000,1.823,-1.201,-1.902
0.009,0.018,0.000,1.757,-1.208,-1.835
0.005,0.039,0.000,1.707,-1.212,-1.785
0.002,0.054,0.000,1.675,-1.215,-1.754
-0.001,0.063,0.000,1.665,-1.217,-1.745
-0.004,0.067,0.000,1.677,-1.219,-1.760
-0.006,0.067,0.000,1.714,-1.220,-1.799
-0.007,0.064,-0.000,1.775,-1.219,-1.863
-0.008,0.060,0.000,1.859,-1.215,-1.949
