measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
0.059,-0.996,-0.004,2.550,-0.367,0.164
0.130,-0.991,0.001,2.078,-0.472,0.380
0.192,-0.978,0.016,1.369,-0.442,0.754
0.216,-0.975,-0.010,0.666,-0.149,0.928
0.238,-0.970,-0.013,0.019,0.176,0.860
0.292,-0.956,-0.004,-0.574,0.371,0.654
0.298,-0.954,-0.006,-1.095,0.410,0.416
0.373,-0.927,0.010,-1.444,0.374,0.254
0.386,-0.922,0.003,-1.686,0.303,0.142
0.429,-0.903,0.003,-1.830,0.235,0.078
0.481,-0.876,0.012,-1.898,0.190,0.045
0.526,-0.846,0.043,-1.910,0.185,0.024
0.483,-0.873,0.034,-1.952,0.178,0.013
0.660,-0.749,0.035,-1.865,0.163,0.007
0.562,-0.816,0.075,-1.864,0.194,0.002
0.568,-0.811,0.080,-1.868,0.218,0.002
0.692,-0.714,0.073,-1.784,0.218,-0.002
0.626,-0.779,0.024,-1.777,0.181,-0.000
0.674,-0.738,0.013,-1.738,0.143,0.006
0.684,-0.719,0.085,-1.698,0.170,0.011
0.700,-0.697,0.111,-1.657,0.208,0.008
0.705,-0.704,0.061,-1.631,0.199,0.003
0.697,-0.714,0.042,-1.621,0.177,0.002
0.708,-0.705,0.030,-1.608,0.150,0.003
0.685,-0.726,0.041,-1.619,0.140,0.004
0.679,-0.733,0.030,-1.638,0.122,0.003
0.677,-0.734,0.037,-1.656,0.113,0.002
0.637,-0.764,0.066,-1.700,0.134,-0.000
0.738,-0.673,-0.036,-1.657,0.064,0.001
0.633,-0.774,0.016,-1.702,0.057,0.007
0.507,-0.853,0.064,-1.817,0.109,0.016
0.586,-0.809,0.028,-1.856,0.103,0.012
0.525,-0.851,-0.017,-1.921,0.058,0.004
0.432,-0.900,0.025,-2.027,0.077,0.009
0.442,-0.894,0.031,-2.106,0.094,0.010
0.354,-0.934,0.013,-2.211,0.090,0.005
0.311,-0.946,0.027,-2.312,0.118,0.008
